
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff
0.0,0.0,172516.49999999997,100000.0,1.725165
0.02,0.0,172714.09999999998,100000.0,1.7271409999999996
0.04,0.0,173079.15000000002,100000.0,1.7307915000000003
0.06,0.0,173628.40000000005,100000.0,1.7362840000000002
0.08,0.0,174023.80000000002,100000.0,1.7402380000000002
0.1,0.0,174425.05000000002,100000.0,1.7442505
0.12000000000000001,0.0,174823.3,100000.0,1.748233
0.14,0.0,174949.00000000003,100000.0,1.7494900000000002
0.16,0.0,175346.85,100000.0,1.7534685
0.18,0.0,175610.10000000003,100000.0,1.7561010000000001
0.19999999999999998,0.0,175942.94999999998,100000.0,1.7594295
0.21999999999999997,0.0,176081.9,100000.0,1.760819
0.23999999999999996,0.0,176360.2,100000.0,1.7636020000000001
0.25999999999999995,0.0,176759.35000000003,100000.0,1.7675934999999998
0.27999999999999997,0.0,177478.8,100000.0,1.774788
0.3,0.0,177576.95000000004,100000.0,1.7757695000000002
0.32,0.0,178035.1,100000.0,1.780351
0.34,0.0,178306.05,100000.0,1.7830605000000004
0.36000000000000004,0.0,178467.19999999998,100000.0,1.784672
0.38000000000000006,0.0,178953.95,100000.0,1.7895394999999998
0.4000000000000001,0.0,179354.55000000002,100000.0,1.7935455
0.4200000000000001,0.0,179527.05000000002,100000.0,1.7952705000000004
0.4400000000000001,0.0,179959.15,100000.0,1.7995915
0.46000000000000013,0.0,180180.44999999998,100000.0,1.8018044999999998
0.48000000000000015,0.0,180721.80000000002,100000.0,1.807218
0.5000000000000001,0.0,180834.44999999998,100000.0,1.8083445000000005
0.5200000000000001,0.0,181279.3,100000.0,1.812793
0.5400000000000001,0.0,181560.69999999998,100000.0,1.8156070000000002
0.5600000000000002,0.0,181885.80000000002,100000.0,1.8188579999999999
0.5800000000000002,0.0,182126.8,100000.0,1.8212679999999999
0.6000000000000002,0.0,182368.49999999997,100000.0,1.823685
0.6200000000000002,0.0,182752.50000000006,100000.0,1.8275250000000003
0.6400000000000002,0.0,183105.65,100000.0,1.8310565
0.6600000000000003,0.0,183545.95,100000.0,1.8354595
0.6800000000000003,0.0,183837.44999999998,100000.0,1.8383744999999998
0.7000000000000003,0.0,184417.15,100000.0,1.8441714999999999
0.7200000000000003,0.0,184572.3,100000.0,1.845723
0.7400000000000003,0.0,184971.35,100000.0,1.8497134999999998
0.7600000000000003,0.0,185231.94999999995,100000.0,1.8523194999999997
0.7800000000000004,0.0,185500.99999999997,100000.0,1.85501
0.8000000000000004,0.0,185950.05000000005,100000.0,1.8595005000000002
0.8200000000000004,0.0,186006.24999999997,100000.0,1.8600625000000002
0.8400000000000004,0.0,186729.10000000003,100000.0,1.8672909999999998
0.8600000000000004,0.0,186977.40000000002,100000.0,1.869774
0.8800000000000004,0.0,187335.55000000002,100000.0,1.8733555000000004
0.9000000000000005,0.0,187743.49999999997,100000.0,1.8774350000000004
0.9200000000000005,0.0,188055.80000000002,100000.0,1.8805579999999997
0.9400000000000005,0.0,188188.84999999998,100000.0,1.8818884999999999
0.9600000000000005,0.0,188858.5,100000.0,1.8885849999999997
0.9800000000000005,0.0,188791.6,100000.0,1.8879160000000001
0.0,0.02,171968.5,100000.0,1.7196850000000004
0.02,0.02,172322.24999999997,100000.0,1.7232224999999999
0.04,0.02,172698.3,100000.0,1.726983
0.06,0.02,173204.74999999997,100000.0,1.7320475
0.08,0.02,173330.05,100000.0,1.7333005
0.1,0.02,173820.25,100000.0,1.7382024999999997
0.12000000000000001,0.02,173982.85000000003,100000.0,1.7398285
0.14,0.02,174580.15000000002,100000.0,1.7458015
0.16,0.02,174799.95,100000.0,1.7479995
0.18,0.02,175012.00000000003,100000.0,1.75012
0.19999999999999998,0.02,175609.19999999995,100000.0,1.756092
0.21999999999999997,0.02,175579.25,100000.0,1.7557924999999996
0.23999999999999996,0.02,176489.9,100000.0,1.7648990000000002
0.25999999999999995,0.02,176469.75,100000.0,1.7646975
0.27999999999999997,0.02,176883.15000000002,100000.0,1.7688314999999997
0.3,0.02,177260.6,100000.0,1.772606
0.32,0.02,177491.44999999998,100000.0,1.7749145000000004
0.34,0.02,177917.94999999998,100000.0,1.7791795000000001
0.36000000000000004,0.02,178244.05,100000.0,1.7824404999999999
0.38000000000000006,0.02,178588.29999999996,100000.0,1.7858829999999999
0.4000000000000001,0.02,178924.25,100000.0,1.7892425
0.4200000000000001,0.02,179309.0,100000.0,1.7930899999999999
0.4400000000000001,0.02,179720.60000000003,100000.0,1.797206
0.46000000000000013,0.02,180091.69999999998,100000.0,1.8009169999999999
0.48000000000000015,0.02,180498.1,100000.0,1.8049810000000002
0.5000000000000001,0.02,180541.80000000002,100000.0,1.8054179999999997
0.5200000000000001,0.02,180998.85000000003,100000.0,1.8099884999999998
0.5400000000000001,0.02,181466.8,100000.0,1.8146680000000002
0.5600000000000002,0.02,181778.04999999996,100000.0,1.8177805000000002
0.5800000000000002,0.02,182139.74999999994,100000.0,1.8213975
0.6000000000000002,0.02,182436.7,100000.0,1.8243669999999998
0.6200000000000002,0.02,182808.30000000002,100000.0,1.828083
0.6400000000000002,0.02,183105.59999999995,100000.0,1.831056
0.6600000000000003,0.02,183720.49999999997,100000.0,1.8372049999999998
0.6800000000000003,0.02,183828.95000000007,100000.0,1.8382895
0.7000000000000003,0.02,184118.94999999995,100000.0,1.8411895
0.7200000000000003,0.02,184834.05,100000.0,1.8483404999999995
0.7400000000000003,0.02,184748.55,100000.0,1.8474855000000001
0.7600000000000003,0.02,185023.94999999995,100000.0,1.8502394999999998
