
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff
1.0,0.0,190071.85,100000.0,1.9007185
1.0,0.02,189739.30000000002,100000.0,1.8973930000000003
1.0,0.04,189947.40000000002,100000.0,1.8994739999999997
1.0,0.06,189705.55000000005,100000.0,1.8970554999999998
1.0,0.08,189608.24999999997,100000.0,1.8960825000000001
1.0,0.1,189587.2,100000.0,1.8958719999999996
1.0,0.12000000000000001,190053.4,100000.0,1.9005339999999997
1.0,0.14,190113.45,100000.0,1.9011344999999997
1.0,0.16,189632.69999999998,100000.0,1.896327
1.0,0.18,190205.25,100000.0,1.9020525
1.0,0.19999999999999998,190106.05,100000.0,1.9010605
1.0,0.21999999999999997,189826.85,100000.0,1.8982685000000001
1.0,0.23999999999999996,189923.00000000003,100000.0,1.89923
1.0,0.25999999999999995,189807.89999999997,100000.0,1.898079
1.0,0.27999999999999997,189860.35,100000.0,1.8986035
1.0,0.3,190229.39999999997,100000.0,1.902294
1.0,0.32,190065.80000000005,100000.0,1.900658
1.0,0.34,189497.55,100000.0,1.8949755000000001
1.0,0.36000000000000004,190022.65000000002,100000.0,1.9002265
1.0,0.38000000000000006,189772.19999999995,100000.0,1.897722
1.0,0.4000000000000001,189852.2,100000.0,1.8985219999999998
1.0,0.4200000000000001,189489.2,100000.0,1.8948920000000005
1.0,0.4400000000000001,190012.45,100000.0,1.9001245000000002
1.0,0.46000000000000013,189835.75000000003,100000.0,1.8983575
1.0,0.48000000000000015,190091.75,100000.0,1.9009175000000003
1.0,0.5000000000000001,190301.95,100000.0,1.9030194999999999
1.0,0.5200000000000001,189557.3,100000.0,1.8955729999999997
1.0,0.5400000000000001,190221.3,100000.0,1.902213
1.0,0.5600000000000002,189964.35,100000.0,1.8996435000000003
1.0,0.5800000000000002,189941.80000000002,100000.0,1.8994179999999998
1.0,0.6000000000000002,190100.65,100000.0,1.9010065000000003
1.0,0.6200000000000002,189932.9,100000.0,1.804943
1.0,0.6400000000000002,189824.9,100000.0,1.8982490000000003
1.0,0.6600000000000003,189795.64999999997,100000.0,1.8979565000000003
1.0,0.6800000000000003,189821.19999999998,100000.0,1.898212
1.0,0.7000000000000003,189665.5,100000.0,1.896655
1.0,0.7200000000000003,189824.8,100000.0,1.898248
1.0,0.7400000000000003,190209.65000000002,100000.0,1.9020965
1.0,0.7600000000000003,190276.8,100000.0,1.902768
1.0,0.7800000000000004,189608.34999999998,100000.0,1.8960835000000003
1.0,0.8000000000000004,189917.35,100000.0,1.8991734999999998
1.0,0.8200000000000004,189445.94999999998,100000.0,1.8944595000000004
1.0,0.8400000000000004,189773.8,100000.0,1.897738
1.0,0.8600000000000004,190058.75,100000.0,1.9005874999999999
1.0,0.8800000000000004,190124.85000000003,100000.0,1.9012485000000001
1.0,0.9000000000000005,189983.69999999998,100000.0,1.8998369999999998
1.0,0.9200000000000005,189977.00000000006,100000.0,1.89977
1.0,0.9400000000000005,189936.90000000002,100000.0,1.8993689999999999
1.0,0.9600000000000005,189790.35,100000.0,1.8979035
1.0,0.9800000000000005,189991.35000000003,100000.0,1.8999134999999998
