
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.0,0.0,136073.37999999998,100000.0,1.3607337999999998,0.0006655935445379648,1.3943524306159345,0.0
0.0,0.02,135210.6,100000.0,1.3521060000000003,0.0006492166079835247,1.3882964795823614,827.78
0.0,0.04,134317.64,100000.0,1.3431764,0.00069357634307513,1.3821170129521547,1676.54
0.0,0.06,133539.9,100000.0,1.3353989999999998,0.0006711065033029491,1.376030207769236,2510.8
0.0,0.08,132586.7,100000.0,1.3258669999999997,0.0005768087611494602,1.3700497572125014,3347.36
0.0,0.1,131716.26,100000.0,1.3171626,0.000622718582884266,1.3636731003128373,4216.46
0.0,0.12000000000000001,130808.06000000004,100000.0,1.3080806,0.0005907333671127848,1.3575781246615861,5057.22
0.0,0.14,129906.12,100000.0,1.2990612000000001,0.0006814268727142651,1.3511528822527068,5918.08
0.0,0.16,128937.46000000004,100000.0,1.2893746000000001,0.0006711620267286049,1.3448012434095054,6792.44
0.0,0.18,128056.0,100000.0,1.2805600000000001,0.0006784368588369672,1.3383698724532074,7671.3
0.0,0.19999999999999998,127023.29999999999,100000.0,1.2702330000000004,0.0006855379088641243,1.3318774806317208,8564.26
0.0,0.21999999999999997,126285.82,100000.0,1.2628582,0.0007349797548232176,1.3254255947255533,9437.72
0.0,0.23999999999999996,125251.34000000004,100000.0,1.2525134000000002,0.0007549385491953784,1.3190312125307786,10306.24
0.0,0.25999999999999995,124247.68000000004,100000.0,1.2424767999999995,0.000659013885456514,1.3122068456663167,11214.92
0.0,0.27999999999999997,123439.10000000002,100000.0,1.234391,0.0007638297839018263,1.3054911761481862,12132.72
0.0,0.3,122291.06000000001,100000.0,1.2229106000000005,0.0006283536902095844,1.2989922304592731,13032.58
0.0,0.32,121512.38000000003,100000.0,1.2151238000000002,0.0006762567372632069,1.292364531286436,13914.54
0.0,0.34,120467.68000000001,100000.0,1.2046768,0.0006643227295370758,1.2855392726698305,14871.16
0.0,0.36000000000000004,119474.50000000001,100000.0,1.1947450000000002,0.0005934206788112599,1.2787227423364373,15790.58
0.0,0.38000000000000006,118508.2,100000.0,1.1850820000000004,0.0005978328890796367,1.2719377333723245,16722.64
0.0,0.4000000000000001,117501.45999999996,100000.0,1.1750146000000001,0.0006936999416027012,1.2644572040939277,17702.7
0.0,0.4200000000000001,116481.26,100000.0,1.1648126,0.0006126687562606401,1.2579674987227023,18617.48
0.0,0.4400000000000001,115434.06000000003,100000.0,1.1543406000000003,0.0006278031285070683,1.2505567331869232,19613.78
0.0,0.46000000000000013,114448.14,100000.0,1.1444813999999999,0.000587481654772196,1.2436750590976342,20515.7
0.0,0.48000000000000015,113549.49999999997,100000.0,1.1354950000000001,0.0006257824000760186,1.2362394281385454,21509.92
0.0,0.5000000000000001,112372.44000000003,100000.0,1.1237244000000002,0.0006543326346245398,1.2286658599989864,22548.8
0.0,0.5200000000000001,111333.23999999998,100000.0,1.1133323999999998,0.0007112050457799475,1.2212609269403,23508.34
0.0,0.5400000000000001,110352.23999999999,100000.0,1.1035224,0.0004965307035741453,1.2144227250700799,24479.28
0.0,0.5600000000000002,109246.27999999997,100000.0,1.0924627999999998,0.0005904049139776706,1.2063836151519114,25538.18
0.0,0.5800000000000002,108206.71999999999,100000.0,1.0820672,0.0006972112402058556,1.198657930089189,26574.06
0.0,0.6000000000000002,107058.26,100000.0,1.0705826000000003,0.0006803180414710624,1.191350042973497,27534.64
0.0,0.6200000000000002,105940.87999999996,100000.0,1.0594088,0.0005342739983436627,1.1833721372996102,28589.44
0.0,0.6400000000000002,104889.48,100000.0,1.0488947999999998,0.0006847458184745383,1.1755423280800004,29659.14
0.0,0.6600000000000003,103722.12,100000.0,1.0372211999999996,0.000598571949539494,1.1675782229027551,30724.16
0.0,0.6800000000000003,98661.59999999999,96147.2,1.0240742853301072,0.0016737529401635134,1.1591208577975194,30552.88
0.0,0.7000000000000003,81029.59999999995,79868.25999999998,1.0078157305028579,0.002176005951764968,1.1500633446224884,26243.42
0.0,0.7200000000000003,56952.55999999999,56731.0,0.9972044016677717,0.0014851626765363729,1.1416412240884086,19259.26
0.0,0.7400000000000003,14715.780000000002,14815.780000000002,0.9828826844516021,0.002186492506577721,1.132300488577395,5162.32
0.0,0.7600000000000003,5654.759999999999,5754.759999999999,0.9706475635371966,0.0030000007398789013,1.1220294016711794,2057.7
0.0,0.7800000000000004,4049.0600000000004,4149.06,0.965448403810075,0.002927459782889095,1.1128118605074315,1519.44
0.0,0.8000000000000004,3423.2000000000007,3523.2000000000007,0.9626549036873694,0.0027502619535527593,1.109659108297268,1308.94
0.0,0.8200000000000004,2067.459999999999,2167.4599999999996,0.9441979260404636,0.0038834079106583068,1.0953692259413041,820.64
0.0,0.8400000000000004,2022.7999999999997,2122.7999999999997,0.9449930920585545,0.0030440907292996343,1.0900836397923162,823.68
0.0,0.8600000000000004,1700.28,1800.2799999999997,0.9343289472219829,0.0037889600827659808,1.0764840552305752,718.08
0.0,0.8800000000000004,1604.78,1704.78,0.932619379996995,0.0035923821198687663,1.076256337916316,680.42
0.0,0.9000000000000005,1315.88,1415.88,0.9201603535977323,0.0037636623793076496,1.0630726260649115,583.44
0.0,0.9200000000000005,1148.0,1248.0000000000002,0.9121887228339278,0.0041317797223346855,1.0559523417121088,517.56
0.0,0.9400000000000005,1059.26,1159.26,0.9048254134130675,0.004185548414683389,1.049593158475657,485.04
0.0,0.9600000000000005,929.26,1029.26,0.8948827736110258,0.0040051794479719,1.0313627178487097,447.34
0.0,0.9800000000000005,897.5600000000001,997.56,0.8929280223932906,0.003938755531839371,1.021832576000256,443.08
