
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.0,0.0,132973.8,100000.0,1.3297380000000003,0.0009235208942440144,1.3919153475960497,0.0
0.0,0.02,132459.49999999997,100000.0,1.324595,0.0009716961567550982,1.38887915484282,488.7
0.0,0.04,132064.59999999998,100000.0,1.3206460000000002,0.0009218409498617984,1.386092464266314,963.95
0.0,0.06,131388.80000000002,100000.0,1.3138880000000002,0.0010284890808723664,1.3832370012531237,1452.05
0.0,0.08,130856.29999999997,100000.0,1.308563,0.001167253208447758,1.3802994224853316,1945.3
0.0,0.1,130316.50000000001,100000.0,1.303165,0.0012631061338079068,1.3774213437607439,2440.0
0.0,0.12000000000000001,129856.84999999999,100000.0,1.2985685,0.0010858630511208518,1.3743860024847334,2918.7
0.0,0.14,129363.35,100000.0,1.2936334999999999,0.0008620212706497596,1.3715746255538406,3431.45
0.0,0.16,128827.24999999996,100000.0,1.2882725000000002,0.0012516862047906251,1.3685734762725794,3933.1
0.0,0.18,128267.85,100000.0,1.2826784999999998,0.0012908441291610213,1.3650960306143578,4461.35
0.0,0.19999999999999998,127607.90000000001,100000.0,1.2760790000000002,0.0008778870866131376,1.3623124131017526,4952.3
0.0,0.21999999999999997,127024.74999999999,100000.0,1.2702475000000002,0.0009155826085929635,1.3591830621153653,5477.1
0.0,0.23999999999999996,126557.09999999998,100000.0,1.265571,0.0011807394872884098,1.3561721062302563,6005.55
0.0,0.25999999999999995,125828.25000000003,100000.0,1.2582825000000002,0.00129166902942625,1.3530496252401478,6517.7
0.0,0.27999999999999997,125329.60000000002,100000.0,1.2532959999999997,0.0010026316424920584,1.3495874300604533,7067.65
0.0,0.3,124800.95000000001,100000.0,1.2480095000000002,0.0009321400038846661,1.3469101143110804,7554.15
0.0,0.32,124151.2,100000.0,1.241512,0.0010143275189944598,1.343378206697753,8102.65
0.0,0.34,123549.85,100000.0,1.2354985,0.0011725281446515522,1.3402276054646685,8633.65
0.0,0.36000000000000004,123196.84999999999,100000.0,1.2319685,0.0009260889109867556,1.3375744824188198,9132.95
0.0,0.38000000000000006,122536.75,100000.0,1.2253675000000002,0.0009985352100899962,1.334120635601772,9645.9
0.0,0.4000000000000001,122109.95000000001,100000.0,1.2210995,0.0009122887570916258,1.330794811957733,10191.55
0.0,0.4200000000000001,121228.85000000002,100000.0,1.2122885,0.0010546272165032938,1.3272841297337308,10745.4
0.0,0.4400000000000001,120772.55,100000.0,1.2077255,0.0011825252806911498,1.3244299625603344,11290.15
0.0,0.46000000000000013,120121.74999999999,100000.0,1.2012174999999998,0.0011565042323630663,1.3206164192365941,11866.1
0.0,0.48000000000000015,119367.1,100000.0,1.193671,0.0010096914328019593,1.3177431168900666,12398.8
0.0,0.5000000000000001,118880.40000000001,100000.0,1.188804,0.0007940129257863463,1.3141778236145407,12979.9
0.0,0.5200000000000001,118385.5,100000.0,1.183855,0.0007722995396524373,1.3108232101547599,13537.3
0.0,0.5400000000000001,117678.84999999999,100000.0,1.1767884999999996,0.0010255466514062263,1.3069424165316867,14139.7
0.0,0.5600000000000002,117126.69999999998,100000.0,1.171267,0.0009339365187487989,1.3035445819376952,14692.2
0.0,0.5800000000000002,116646.65,100000.0,1.1664665,0.0011744959221098336,1.300231525475422,15264.05
0.0,0.6000000000000002,115935.85,100000.0,1.1593585000000002,0.0010156175914709576,1.2969461525338406,15793.95
0.0,0.6200000000000002,115193.90000000001,100000.0,1.1519389999999998,0.0009653750021296611,1.2931656944689458,16463.15
0.0,0.6400000000000002,114593.2,100000.0,1.1459320000000004,0.0008874598879000537,1.289520463512934,17042.65
0.0,0.6600000000000003,113914.89999999997,100000.0,1.139149,0.0009974153176031892,1.2855437751062437,17672.65
