False negative test rate,Tracing efficiency,ReffMean,N_infected_done,N_recovered,ReffStd,ReffTheoretical,N_traced
0.0,0.0,1.3476328436003957,133397.09,98008.474,0.0035175768102266454,1.360839678488516,0.0
0.0,0.02,1.3435182591846666,133675.76799999998,99004.07200000001,0.0022700782129096296,1.3508901888189706,937.116
0.0,0.04,1.3268308501217547,131350.538,98007.37,0.003456139056370311,1.3408290809698005,1863.2459999999999
0.0,0.06,1.3202511617353994,130893.106,98406.666,0.0030569528376146104,1.3308090555862297,2805.594
0.0,0.08,1.3029872298553233,128325.198,97213.76199999999,0.0041896237690297895,1.3202493073676658,3713.0439999999994
0.0,0.1,1.2928793586025285,127340.70999999996,97214.064,0.003994185606156308,1.3096444713827071,4646.8060000000005
0.0,0.12,1.2838137734608237,126053.102,97017.13999999998,0.0036918658737844527,1.3001469639773158,5572.062000000001
0.0,0.14,1.2726879068276766,124590.64799999997,96624.96399999999,0.003677361019206595,1.2895759917345926,6488.99
0.0,0.16,1.262687948329532,123743.79,96818.226,0.003543783129535725,1.2791491735437677,7445.481999999999
0.0,0.18,1.2498823854868466,122515.04600000002,96614.926,0.0039878858857358476,1.2687671052967295,8384.112
0.0,0.1999999999999999,1.2335143900074228,119818.23199999999,95428.288,0.00405805561419913,1.2579963145163162,9235.94
0.0,0.2199999999999999,1.2182903736189727,117919.70399999995,94626.36200000001,0.005371547885425257,1.2470850967727123,10091.492
0.0,0.2399999999999999,1.2073059498544843,116047.492,94044.86200000001,0.004436834493170627,1.2374001693184682,10971.176
0.0,0.2599999999999999,1.2096314179450258,118252.38,96621.94,0.0031240679892450746,1.2261407756570235,12231.048
0.0,0.2799999999999999,1.1785218168562392,112090.174,92446.6,0.005363334673463899,1.2140222540514627,12650.797999999999
0.0,0.3,1.165843429693839,109782.86200000001,91454.334,0.005225301351837405,1.2036213832397702,13433.597999999998
0.0,0.32,1.1470088293283258,105719.86200000001,88891.62,0.00556452433192681,1.1924007364893527,13956.544
0.0,0.34,1.150189607136165,107623.44600000003,91079.14600000002,0.004636367360599964,1.182057530205533,15222.052
0.0,0.36,1.1221300598969923,102210.862,87511.496,0.0056448316788823925,1.1692551274420155,15526.929999999998
0.0,0.38,1.1041403268214058,98537.182,85132.19000000002,0.006078295535562718,1.1575199524310225,15974.076000000001
0.0,0.4000000000000001,1.0894391979841562,94719.94400000002,82787.486,0.005735241954587391,1.1465468821969793,16412.916
0.0,0.4200000000000001,1.0730256362436883,88640.182,78081.7,0.005653394968215919,1.134766590970113,16282.802000000001
0.0,0.4400000000000001,1.063954117934512,88787.70999999999,79046.16399999999,0.005602258521430863,1.1220333965253748,17309.992
0.0,0.4600000000000001,1.0495351377099134,86447.302,77680.132,0.00586117792264853,1.1110962743202322,17821.523999999998
0.0,0.4800000000000001,1.0257257767560888,78490.38599999998,71350.072,0.005932127056593994,1.09629300240582,17132.85
0.0,0.5000000000000001,1.013284262133607,73031.16400000002,67154.47400000002,0.005510293737059917,1.086268484758488,16851.888
0.0,0.5200000000000001,0.9983764005647808,67288.154,62538.248,0.005340450432192664,1.0736724826886814,16364.405999999999
0.0,0.5400000000000001,0.9859833395384457,60911.914000000004,57243.156,0.004923384186243264,1.058105971325571,15597.876
0.0,0.5600000000000002,0.9554245731921311,49100.244,46620.013999999996,0.005437898121254409,1.045527318464657,13204.974000000002
