False negative test rate,Tracing efficiency,N_infected_done,N_recovered,Reff 
0.460000,0.040000,253538,141363,1.793256 
0.480000,0.040000,248951,137999,1.803530 
0.500000,0.040000,246216,136261,1.805541 
0.520000,0.040000,262182,144223,1.817960 
0.540000,0.040000,247858,135716,1.826194 
0.560000,0.040000,244336,133944,1.823791 
0.580000,0.040000,276692,150680,1.835987 
0.600000,0.040000,251476,136943,1.834790 
0.620000,0.040000,275390,148872,1.849823 
0.640000,0.040000,271617,145839,1.862296 
0.660000,0.040000,271049,145588,1.861504 
0.680000,0.040000,282463,151604,1.862325 
0.700000,0.040000,272181,144844,1.878824 
0.720000,0.040000,293110,155636,1.882883 
0.740000,0.040000,283159,150245,1.884579 
0.760000,0.040000,291740,153490,1.900345 
0.780000,0.040000,290355,152311,1.905995 
0.800000,0.040000,292099,153047,1.908202 
0.820000,0.040000,306965,160232,1.915318 
0.840000,0.040000,302874,157365,1.925053 
0.860000,0.040000,297253,154270,1.926759 
0.880000,0.040000,300753,155204,1.937877 
0.900000,0.040000,305903,157652,1.940050 
0.920000,0.040000,326502,167395,1.949802 
0.940000,0.040000,293430,149932,1.956520 
0.960000,0.040000,311962,159080,1.960600 
0.980000,0.040000,337355,170582,1.977768 
1.000000,0.040000,302542,153303,1.973415 
0.000000,0.060000,171960,106122,1.620173 
0.020000,0.060000,170212,105167,1.618445 
0.040000,0.060000,169785,103413,1.640726 
0.060000,0.060000,184600,111802,1.650845 
0.080000,0.060000,177402,107613,1.647821 
0.100000,0.060000,173503,104920,1.653285 
0.120000,0.060000,189452,113680,1.666711 
0.140000,0.060000,198271,118153,1.677924 
0.160000,0.060000,190962,113328,1.684579 
0.180000,0.060000,192889,114286,1.688293 
0.200000,0.060000,204438,120468,1.696669 
0.220000,0.060000,198530,116959,1.696611 
0.240000,0.060000,202583,118730,1.705532 
0.260000,0.060000,221234,128770,1.718110 
0.280000,0.060000,199855,116231,1.719228 
0.300000,0.060000,229513,132376,1.732743 
0.320000,0.060000,210971,121701,1.733162 
0.340000,0.060000,238027,136036,1.749791 
0.360000,0.060000,231206,132433,1.745894 
0.380000,0.060000,227141,129462,1.753977 
0.400000,0.060000,216356,122452,1.766522 
0.420000,0.060000,241440,136346,1.770304 
0.440000,0.060000,244601,137276,1.781741 
0.460000,0.060000,232751,130585,1.781637 
0.480000,0.060000,257404,143408,1.795015 
0.500000,0.060000,253943,141056,1.800165 
0.520000,0.060000,248898,137714,1.806917 
0.540000,0.060000,248479,137404,1.807580 
0.560000,0.060000,238875,130617,1.829064 
0.580000,0.060000,271057,148079,1.829466 
0.600000,0.060000,254525,138719,1.834506 
0.620000,0.060000,270108,146774,1.839651 
0.640000,0.060000,267105,144684,1.845980 
