0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4803.519999999999	4237.76	3719.1600000000003	3223.0800000000004	2721.4000000000005	2237.359999999999	1778.24	1305.3799999999997	863.7999999999998	430.38000000000017	0.0
9660.6	8546.820000000002	7489.780000000001	6476.180000000001	5465.74	4491.88	3570.06	2640.4599999999996	1730.3200000000002	862.2599999999998	0.0
14656.639999999998	12965.359999999997	11319.999999999996	9748.779999999999	8243.44	6753.999999999997	5355.759999999999	3961.7200000000007	2603.2599999999998	1287.24	0.0
19836.100000000006	17480.059999999998	15210.159999999998	13082.960000000001	11054.320000000003	9039.699999999999	7152.259999999999	5291.639999999998	3463.1	1715.74	0.0
25139.859999999993	22091.34	19217.620000000003	16483.980000000003	13873.660000000002	11374.739999999996	8992.240000000002	6635.159999999999	4354.78	2143.34	0.0
27681.879999999997	26793.18	23268.760000000006	19876.7	16769.98	13716.979999999998	10790.920000000002	7948.620000000002	5239.459999999999	2572.64	0.0
1630.8000000000002	31595.04	27411.139999999996	23372.719999999998	19617.479999999996	16067.019999999999	12651.040000000003	9305.539999999999	6115.3	2990.4400000000005	0.0
606.8800000000001	25587.600000000002	31527.359999999993	26882.180000000004	22603.9	18424.44	14463.459999999995	10689.480000000003	6988.300000000001	3430.52	0.0
395.2400000000001	1296.6	35882.6	30569.000000000004	25567.059999999994	20855.739999999998	16323.78	12007.539999999997	7906.499999999999	3888.42	0.0
313.78000000000003	702.4599999999999	38677.860000000015	34166.060000000005	28576.46	23253.96	18230.160000000003	13385.579999999998	8771.479999999998	4315.64	0.0
