
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.0,0.0,131192.18,96009.66,1.3346643452991456,0.022547135920647315,1.3614031716335933,0.0
0.0,0.02,133246.28,98011.62,1.3489242592082618,0.010841053093180873,1.3585717605646428,276.16
0.0,0.04,135798.84,100000.0,1.3579884000000002,0.0028396427248683865,1.356661342158021,559.78
0.0,0.06,135339.48,100000.0,1.3533947999999998,0.0019215145650432824,1.3542487363043756,844.36
0.0,0.08,132262.22000000003,98009.42,1.3383017154989387,0.011471762729231182,1.3521995194858303,1113.98
0.0,0.1,134371.71999999997,100000.0,1.3437172000000004,0.00201600324019824,1.3505220420818964,1417.42
0.0,0.12000000000000001,134200.46,100000.0,1.3420045999999999,0.002154014670520217,1.347985280551121,1693.9
0.0,0.14,128516.00000000001,96019.9,1.3169584512799373,0.015325579878766689,1.344941769224279,1910.76
0.0,0.16,133909.88,100000.0,1.3390988000000001,0.001880472750807789,1.3432408080563338,2273.94
0.0,0.18,130864.62000000001,98005.8,1.3217116482758624,0.013807346123559945,1.3405307342610304,2512.2
0.0,0.19999999999999998,127984.02000000002,96010.94,1.305078347676605,0.01975967340484898,1.3382988636371977,2767.08
0.0,0.21999999999999997,132652.46,100000.0,1.3265246000000002,0.0025797883983784712,1.3358952984790469,3172.88
0.0,0.23999999999999996,132201.58,100000.0,1.3220157999999997,0.0022951403156607716,1.3332005233060744,3471.96
0.0,0.25999999999999995,132462.93999999997,100000.0,1.3246294,0.002314495447462907,1.3320807902263399,3746.84
0.0,0.27999999999999997,131944.28,100000.0,1.3194427999999996,0.0022654073299546496,1.3287192884650134,4060.28
0.0,0.3,131524.18,100000.0,1.3152418000000003,0.002025162723419164,1.3268547008863298,4357.74
0.0,0.32,128713.21999999999,98004.58,1.2983727755458514,0.015137037449324197,1.3243613964990735,4578.18
0.0,0.34,125414.3,96011.08,1.279493252631579,0.019003293443475497,1.3215083126436862,4766.4
0.0,0.36000000000000004,127680.06000000001,98004.88,1.2885750786885246,0.01441515515345554,1.3190330389502427,5192.9
0.0,0.38000000000000006,127621.06000000003,98013.78,1.2931900423802614,0.00919036339914425,1.3162968420124708,5484.24
0.0,0.4000000000000001,127099.44000000002,98006.45999999999,1.284757849535604,0.012309484162947857,1.3148949038783166,5793.88
0.0,0.4200000000000001,126937.90000000004,98004.72,1.280877223728814,0.014551227723784166,1.3115985085691961,6112.18
0.0,0.4400000000000001,126913.26000000001,98018.73999999999,1.2868307282817504,0.008382091280091054,1.308754467094907,6412.36
0.0,0.46000000000000013,126221.98,98005.28,1.2746112424242428,0.013471752150746778,1.3056382841907024,6737.1
0.0,0.48000000000000015,125850.86000000003,98004.88,1.2702830786885244,0.014093773042102586,1.3050938770571119,7052.88
0.0,0.5000000000000001,125454.40000000001,98012.12,1.2711424699669966,0.009095101297001806,1.3009835980332518,7342.02
0.0,0.5200000000000001,117603.41999999998,92031.58,1.2347420449544904,0.021172919491625676,1.2989978056352267,7212.64
0.0,0.5400000000000001,117455.69999999998,92026.45999999999,1.2268838386456624,0.024565365211365972,1.2952265317797111,7505.64
0.0,0.5600000000000002,119160.7,94033.06,1.2370509827601275,0.01768599186292477,1.295108291716351,7955.36
0.0,0.5800000000000002,126564.23999999998,100000.0,1.2656424,0.0023038901717020526,1.2914353202613489,8830.02
0.0,0.6000000000000002,124086.84000000004,98017.8,1.2584632089887642,0.007909970251085039,1.2881518871433388,8994.22
0.0,0.6200000000000002,123343.85999999996,98013.78,1.2504180423802607,0.008364933414455279,1.2847147189058674,9330.0
0.0,0.6400000000000002,122749.67999999996,98023.42,1.2455746580700255,0.007093613059414689,1.2830690816941726,9660.86
0.0,0.6600000000000003,125089.04000000001,100000.0,1.2508903999999996,0.002287584305751017,1.2806170500882628,10198.8
0.0,0.6800000000000003,120132.14000000001,96014.54000000001,1.2275879866531698,0.01726799606075152,1.2772689611997978,10084.54
0.0,0.7000000000000003,122478.22,98005.48000000001,1.2374481299270075,0.01253191466395788,1.2746821421018468,10650.58
0.0,0.7200000000000003,112043.3,90085.29999999999,1.197473831563853,0.021139765400584255,1.2716278056108086,10099.68
0.0,0.7400000000000003,123928.82,100000.0,1.2392881999999998,0.0022182069370350003,1.2691569706891634,11582.58
0.0,0.7600000000000003,123601.69999999998,100000.0,1.2360170000000001,0.002643718890394472,1.2658832637279567,11948.96
0.0,0.7800000000000004,122581.18000000002,100000.0,1.2258117999999998,0.0024367974414407608,1.2635321444571126,12257.86
0.0,0.8000000000000004,112801.64,92060.18,1.189773818426677,0.018473502855653082,1.2585824478544336,11627.54
0.0,0.8200000000000004,114852.96,94019.76000000001,1.1881876012241726,0.019386857489548368,1.2549312481771877,12230.22
0.0,0.8400000000000004,122083.73999999996,100000.0,1.2208374,0.002222731722682791,1.2541373805832237,13358.56
0.0,0.8600000000000004,116498.51999999997,96034.92,1.1997328560641987,0.009658730878447324,1.2503836651319706,13217.68
0.0,0.8800000000000004,121348.06000000001,100000.0,1.2134806,0.0019526141642131208,1.2480215524444782,14116.78
0.0,0.9000000000000005,106371.72,88105.48000000001,1.1584752261444726,0.021894813237075934,1.2463247213571302,12788.94
0.0,0.9200000000000005,115738.10000000003,96040.02,1.1922135350478686,0.009436699726106645,1.2395633350436381,14320.22
0.0,0.9400000000000005,112901.37999999999,94059.94,1.1822748882887628,0.010520456683354516,1.2366980435073387,14367.4
0.0,0.9600000000000005,114887.35999999997,96016.06,1.1787589740130433,0.012719457145587466,1.233274131101988,15058.08
0.0,0.9800000000000005,109651.6,92045.19999999998,1.1608474146015928,0.015103707470234151,1.2289541592049753,14793.14
0.0,1.0000000000000004,114347.95999999999,96060.84,1.1761490962343837,0.010871329700673924,1.2280820896964046,15772.48
